"Method";"Path";"Parameters"
"DELETE";"/sessions/{id}";""
"GET";"/shared-link";""
"POST";"/shared-link";""
"GET";"/shared-link/me";""
"DELETE";"/shared-link/{id}";""
"GET";"/shared-link/{id}";""
"PATCH";"/shared-link/{id}";""
"DELETE";"/shared-link/{id}/assets";""
"PUT";"/shared-link/{id}/assets";""
"POST";"/sync/delta-sync";""
"POST";"/sync/full-sync";""
"GET";"/system-config";""
"PUT";"/system-config";""
"GET";"/system-config/defaults";""
"GET";"/system-config/map/style.json";""
"GET";"/system-config/storage-template-options";""
"GET";"/system-metadata/admin-onboarding";""
"POST";"/system-metadata/admin-onboarding";""
"GET";"/system-metadata/reverse-geocoding-state";""
"GET";"/tag";""
"POST";"/tag";""
"DELETE";"/tag/{id}";""
"GET";"/tag/{id}";""
"PATCH";"/tag/{id}";""
"DELETE";"/tag/{id}/assets";""
"GET";"/tag/{id}/assets";""
"PUT";"/tag/{id}/assets";""
"GET";"/timeline/bucket";""
"GET";"/timeline/buckets";""
"POST";"/trash/empty";""
"POST";"/trash/restore";""
"POST";"/trash/restore/assets";""
"GET";"/user";""
"POST";"/user";""
"PUT";"/user";""
"GET";"/user/info/{id}";""
"GET";"/user/me";""
"DELETE";"/user/profile-image";""
"POST";"/user/profile-image";""
"GET";"/user/profile-image/{id}";""
"DELETE";"/user/{id}";""
"POST";"/user/{id}/restore";""
"GET";"/activity";""
"POST";"/activity";""
"GET";"/activity/statistics";""
"DELETE";"/activity/{id}";""
"GET";"/album";""
"POST";"/album";""
"GET";"/album/count";""
"DELETE";"/album/{id}";""
"GET";"/album/{id}";""
"PATCH";"/album/{id}";""
"DELETE";"/album/{id}/assets";""
"PUT";"/album/{id}/assets";""
"DELETE";"/album/{id}/user/{userId}";""
"PUT";"/album/{id}/user/{userId}";""
"PUT";"/album/{id}/users";""
"GET";"/api-key";""
"POST";"/api-key";""
"DELETE";"/api-key/{id}";""
"GET";"/api-key/{id}";""
"PUT";"/api-key/{id}";""
"DELETE";"/asset";""
"GET";"/asset";""
"PUT";"/asset";""
"POST";"/asset/bulk-upload-check";""
"GET";"/asset/device/{deviceId}";""
"POST";"/asset/exist";""
"GET";"/asset/file/{id}";""
"POST";"/asset/jobs";""
"GET";"/asset/map-marker";""
"GET";"/asset/memory-lane";""
"GET";"/asset/random";""
"PUT";"/asset/stack/parent";""
"GET";"/asset/statistics";""
"GET";"/asset/thumbnail/{id}";""
"POST";"/asset/upload";""
"GET";"/asset/{id}";""
"PUT";"/asset/{id}";""
"GET";"/audit/deletes";""
"POST";"/auth/admin-sign-up";""
"POST";"/auth/change-password";""
"POST";"/auth/login";""
"POST";"/auth/logout";""
"POST";"/auth/validateToken";""
"POST";"/download/archive";""
"POST";"/download/asset/{id}";""
"POST";"/download/info";""
"GET";"/face";""
"PUT";"/face/{id}";""
"GET";"/jobs";""
"PUT";"/jobs/{id}";""
"GET";"/library";""
"POST";"/library";""
"DELETE";"/library/{id}";""
"GET";"/library/{id}";""
"PUT";"/library/{id}";""
"POST";"/library/{id}/removeOffline";""
"POST";"/library/{id}/scan";""
"GET";"/library/{id}/statistics";""
"POST";"/library/{id}/validate";""
"GET";"/memories";""
"POST";"/memories";""
"DELETE";"/memories/{id}";""
"GET";"/memories/{id}";""
"PUT";"/memories/{id}";""
"DELETE";"/memories/{id}/assets";""
"PUT";"/memories/{id}/assets";""
"POST";"/oauth/authorize";""
"POST";"/oauth/callback";""
"POST";"/oauth/link";""
"GET";"/oauth/mobile-redirect";""
"POST";"/oauth/unlink";""
"GET";"/partner";""
"DELETE";"/partner/{id}";""
"POST";"/partner/{id}";""
"PUT";"/partner/{id}";""
"GET";"/person";""
"POST";"/person";""
"PUT";"/person";""
"GET";"/person/{id}";""
"PUT";"/person/{id}";""
"GET";"/person/{id}/assets";""
"POST";"/person/{id}/merge";""
"PUT";"/person/{id}/reassign";""
"GET";"/person/{id}/statistics";""
"GET";"/person/{id}/thumbnail";""
"GET";"/report";""
"POST";"/report/checksum";""
"POST";"/report/fix";""
"GET";"/search/cities";""
"GET";"/search/explore";""
"POST";"/search/metadata";""
"GET";"/search/person";""
"GET";"/search/places";""
"POST";"/search/smart";""
"GET";"/search/suggestions";""
"GET";"/server-info";""
"GET";"/server-info/config";""
"GET";"/server-info/features";""
"GET";"/server-info/media-types";""
"GET";"/server-info/ping";""
"GET";"/server-info/statistics";""
"GET";"/server-info/theme";""
"GET";"/server-info/version";""
"DELETE";"/sessions";""
"GET";"/sessions";""
"DELETE";"/sessions/{id}";""
"GET";"/shared-link";""
"POST";"/shared-link";""
"GET";"/shared-link/me";""
"DELETE";"/shared-link/{id}";""
"GET";"/shared-link/{id}";""
"PATCH";"/shared-link/{id}";""
"DELETE";"/shared-link/{id}/assets";""
"PUT";"/shared-link/{id}/assets";""
"POST";"/sync/delta-sync";""
"POST";"/sync/full-sync";""
"GET";"/system-config";""
"PUT";"/system-config";""
"GET";"/system-config/defaults";""
"GET";"/system-config/map/style.json";""
"GET";"/system-config/storage-template-options";""
"GET";"/system-metadata/admin-onboarding";""
"POST";"/system-metadata/admin-onboarding";""
"GET";"/system-metadata/reverse-geocoding-state";""
"GET";"/tag";""
"POST";"/tag";""
"DELETE";"/tag/{id}";""
"GET";"/tag/{id}";""
"PATCH";"/tag/{id}";""
"DELETE";"/tag/{id}/assets";""
"GET";"/tag/{id}/assets";""
"PUT";"/tag/{id}/assets";""
"GET";"/timeline/bucket";""
"GET";"/timeline/buckets";""
"POST";"/trash/empty";""
"POST";"/trash/restore";""
"POST";"/trash/restore/assets";""
"GET";"/user";""
"POST";"/user";""
"PUT";"/user";""
"GET";"/user/info/{id}";""
"GET";"/user/me";""
"DELETE";"/user/profile-image";""
"POST";"/user/profile-image";""
"GET";"/user/profile-image/{id}";""
"DELETE";"/user/{id}";""
"POST";"/user/{id}/restore";""
"GET";"/activity";""
"POST";"/activity";""
"GET";"/activity/statistics";""
"DELETE";"/activity/{id}";""
"GET";"/album";""
"POST";"/album";""
"GET";"/album/count";""
"DELETE";"/album/{id}";""
"GET";"/album/{id}";""
"PATCH";"/album/{id}";""
"DELETE";"/album/{id}/assets";""
"PUT";"/album/{id}/assets";""
"DELETE";"/album/{id}/user/{userId}";""
"PUT";"/album/{id}/user/{userId}";""
"PUT";"/album/{id}/users";""
"GET";"/api-key";""
"POST";"/api-key";""
"DELETE";"/api-key/{id}";""
"GET";"/api-key/{id}";""
"PUT";"/api-key/{id}";""
"DELETE";"/asset";""
"GET";"/asset";""
"PUT";"/asset";""
"POST";"/asset/bulk-upload-check";""
"GET";"/asset/device/{deviceId}";""
"POST";"/asset/exist";""
"GET";"/asset/file/{id}";""
"POST";"/asset/jobs";""
"GET";"/asset/map-marker";""
"GET";"/asset/memory-lane";""
"GET";"/asset/random";""
"PUT";"/asset/stack/parent";""
"GET";"/asset/statistics";""
"GET";"/asset/thumbnail/{id}";""
"POST";"/asset/upload";""
"GET";"/asset/{id}";""
"PUT";"/asset/{id}";""
"GET";"/audit/deletes";""
"POST";"/auth/admin-sign-up";""
"POST";"/auth/change-password";""
"POST";"/auth/login";""
"POST";"/auth/logout";""
"POST";"/auth/validateToken";""
"POST";"/download/archive";""
"POST";"/download/asset/{id}";""
"POST";"/download/info";""
"GET";"/face";""
"PUT";"/face/{id}";""
"GET";"/jobs";""
"PUT";"/jobs/{id}";""
"GET";"/library";""
"POST";"/library";""
"DELETE";"/library/{id}";""
"GET";"/library/{id}";""
"PUT";"/library/{id}";""
"POST";"/library/{id}/removeOffline";""
"POST";"/library/{id}/scan";""
"GET";"/library/{id}/statistics";""
"POST";"/library/{id}/validate";""
"GET";"/memories";""
"POST";"/memories";""
"DELETE";"/memories/{id}";""
"GET";"/memories/{id}";""
"PUT";"/memories/{id}";""
"DELETE";"/memories/{id}/assets";""
"PUT";"/memories/{id}/assets";""
"POST";"/oauth/authorize";""
"POST";"/oauth/callback";""
"POST";"/oauth/link";""
"GET";"/oauth/mobile-redirect";""
"POST";"/oauth/unlink";""
"GET";"/partner";""
"DELETE";"/partner/{id}";""
"POST";"/partner/{id}";""
"PUT";"/partner/{id}";""
"GET";"/person";""
"POST";"/person";""
"PUT";"/person";""
"GET";"/person/{id}";""
"PUT";"/person/{id}";""
"GET";"/person/{id}/assets";""
"POST";"/person/{id}/merge";""
"PUT";"/person/{id}/reassign";""
"GET";"/person/{id}/statistics";""
"GET";"/person/{id}/thumbnail";""
"GET";"/report";""
"POST";"/report/checksum";""
"POST";"/report/fix";""
"GET";"/search/cities";""
"GET";"/search/explore";""
"POST";"/search/metadata";""
"GET";"/search/person";""
"GET";"/search/places";""
"POST";"/search/smart";""
"GET";"/search/suggestions";""
"GET";"/server-info";""
"GET";"/server-info/config";""
"GET";"/server-info/features";""
"GET";"/server-info/media-types";""
"GET";"/server-info/ping";""
"GET";"/server-info/statistics";""
"GET";"/server-info/theme";""
"GET";"/server-info/version";""
"DELETE";"/sessions";""
"GET";"/sessions";""
"DELETE";"/sessions/{id}";""
"GET";"/shared-link";""
"POST";"/shared-link";""
"GET";"/shared-link/me";""
"DELETE";"/shared-link/{id}";""
"GET";"/shared-link/{id}";""
"PATCH";"/shared-link/{id}";""
"DELETE";"/shared-link/{id}/assets";""
"PUT";"/shared-link/{id}/assets";""
"POST";"/sync/delta-sync";""
"POST";"/sync/full-sync";""
"GET";"/system-config";""
"PUT";"/system-config";""
"GET";"/system-config/defaults";""
"GET";"/system-config/map/style.json";""
"GET";"/system-config/storage-template-options";""
"GET";"/system-metadata/admin-onboarding";""
"POST";"/system-metadata/admin-onboarding";""
"GET";"/system-metadata/reverse-geocoding-state";""
"GET";"/tag";""
"POST";"/tag";""
"DELETE";"/tag/{id}";""
"GET";"/tag/{id}";""
"PATCH";"/tag/{id}";""
"DELETE";"/tag/{id}/assets";""
"GET";"/tag/{id}/assets";""
"PUT";"/tag/{id}/assets";""
"GET";"/timeline/bucket";""
"GET";"/timeline/buckets";""
"POST";"/trash/empty";""
"POST";"/trash/restore";""
"POST";"/trash/restore/assets";""
"GET";"/user";""
"POST";"/user";""
"PUT";"/user";""
"GET";"/user/info/{id}";""
"GET";"/user/me";""
"DELETE";"/user/profile-image";""
"POST";"/user/profile-image";""
"GET";"/user/profile-image/{id}";""
"DELETE";"/user/{id}";""
"POST";"/user/{id}/restore";""
"GET";"/activity";""
"POST";"/activity";""
"GET";"/activity/statistics";""
"DELETE";"/activity/{id}";""
"GET";"/album";""
"POST";"/album";""
"GET";"/album/count";""
"DELETE";"/album/{id}";""
"GET";"/album/{id}";""
"PATCH";"/album/{id}";""
"DELETE";"/album/{id}/assets";""
"PUT";"/album/{id}/assets";""
"DELETE";"/album/{id}/user/{userId}";""
"PUT";"/album/{id}/user/{userId}";""
"PUT";"/album/{id}/users";""
"GET";"/api-key";""
"POST";"/api-key";""
"DELETE";"/api-key/{id}";""
"GET";"/api-key/{id}";""
"PUT";"/api-key/{id}";""
"DELETE";"/asset";""
"GET";"/asset";""
"PUT";"/asset";""
"POST";"/asset/bulk-upload-check";""
"GET";"/asset/device/{deviceId}";""
"POST";"/asset/exist";""
"GET";"/asset/file/{id}";""
"POST";"/asset/jobs";""
"GET";"/asset/map-marker";""
"GET";"/asset/memory-lane";""
"GET";"/asset/random";""
"PUT";"/asset/stack/parent";""
"GET";"/asset/statistics";""
"GET";"/asset/thumbnail/{id}";""
"POST";"/asset/upload";""
"GET";"/asset/{id}";""
"PUT";"/asset/{id}";""
"GET";"/audit/deletes";""
"POST";"/auth/admin-sign-up";""
"POST";"/auth/change-password";""
"POST";"/auth/login";""
"POST";"/auth/logout";""
"POST";"/auth/validateToken";""
"POST";"/download/archive";""
"POST";"/download/asset/{id}";""
"POST";"/download/info";""
"GET";"/face";""
"PUT";"/face/{id}";""
"GET";"/jobs";""
"PUT";"/jobs/{id}";""
"GET";"/library";""
"POST";"/library";""
"DELETE";"/library/{id}";""
"GET";"/library/{id}";""
"PUT";"/library/{id}";""
"POST";"/library/{id}/removeOffline";""
"POST";"/library/{id}/scan";""
"GET";"/library/{id}/statistics";""
"POST";"/library/{id}/validate";""
"GET";"/memories";""
"POST";"/memories";""
"DELETE";"/memories/{id}";""
"GET";"/memories/{id}";""
"PUT";"/memories/{id}";""
"DELETE";"/memories/{id}/assets";""
"PUT";"/memories/{id}/assets";""
"POST";"/oauth/authorize";""
"POST";"/oauth/callback";""
"POST";"/oauth/link";""
"GET";"/oauth/mobile-redirect";""
"POST";"/oauth/unlink";""
"GET";"/partner";""
"DELETE";"/partner/{id}";""
"POST";"/partner/{id}";""
"PUT";"/partner/{id}";""
"GET";"/person";""
"POST";"/person";""
"PUT";"/person";""
"GET";"/person/{id}";""
"PUT";"/person/{id}";""
"GET";"/person/{id}/assets";""
"POST";"/person/{id}/merge";""
"PUT";"/person/{id}/reassign";""
"GET";"/person/{id}/statistics";""
"GET";"/person/{id}/thumbnail";""
"GET";"/report";""
"POST";"/report/checksum";""
"POST";"/report/fix";""
"GET";"/search/cities";""
"GET";"/search/explore";""
"POST";"/search/metadata";""
"GET";"/search/person";""
"GET";"/search/places";""
"POST";"/search/smart";""
"GET";"/search/suggestions";""
"GET";"/server-info";""
"GET";"/server-info/config";""
"GET";"/server-info/features";""
"GET";"/server-info/media-types";""
"GET";"/server-info/ping";""
"GET";"/server-info/statistics";""
"GET";"/server-info/theme";""
"GET";"/server-info/version";""
"DELETE";"/sessions";""
"GET";"/sessions";""
"DELETE";"/sessions/{id}";""
"GET";"/shared-link";""
"POST";"/shared-link";""
"GET";"/shared-link/me";""
"DELETE";"/shared-link/{id}";""
"GET";"/shared-link/{id}";""
"PATCH";"/shared-link/{id}";""
"DELETE";"/shared-link/{id}/assets";""
"PUT";"/shared-link/{id}/assets";""
"POST";"/sync/delta-sync";""
"POST";"/sync/full-sync";""
"GET";"/system-config";""
"PUT";"/system-config";""
"GET";"/system-config/defaults";""
"GET";"/system-config/map/style.json";""
"GET";"/system-config/storage-template-options";""
"GET";"/system-metadata/admin-onboarding";""
"POST";"/system-metadata/admin-onboarding";""
"GET";"/system-metadata/reverse-geocoding-state";""
"GET";"/tag";""
"POST";"/tag";""
"DELETE";"/tag/{id}";""
"GET";"/tag/{id}";""
"PATCH";"/tag/{id}";""
"DELETE";"/tag/{id}/assets";""
"GET";"/tag/{id}/assets";""
"PUT";"/tag/{id}/assets";""
"GET";"/timeline/bucket";""
"GET";"/timeline/buckets";""
"POST";"/trash/empty";""
"POST";"/trash/restore";""
"POST";"/trash/restore/assets";""
"GET";"/user";""
"POST";"/user";""
"PUT";"/user";""
"GET";"/user/info/{id}";""
"GET";"/user/me";""
"DELETE";"/user/profile-image";""
"POST";"/user/profile-image";""
"GET";"/user/profile-image/{id}";""
"DELETE";"/user/{id}";""
"POST";"/user/{id}/restore";""
"GET";"/activity";""
"POST";"/activity";""
"GET";"/activity/statistics";""
"DELETE";"/activity/{id}";""
"GET";"/album";""
"POST";"/album";""
"GET";"/album/count";""
"DELETE";"/album/{id}";""
"GET";"/album/{id}";""
"PATCH";"/album/{id}";""
"DELETE";"/album/{id}/assets";""
"PUT";"/album/{id}/assets";""
"DELETE";"/album/{id}/user/{userId}";""
"PUT";"/album/{id}/user/{userId}";""
"PUT";"/album/{id}/users";""
"GET";"/api-key";""
"POST";"/api-key";""
"DELETE";"/api-key/{id}";""
"GET";"/api-key/{id}";""
"PUT";"/api-key/{id}";""
"DELETE";"/asset";""
"GET";"/asset";""
"PUT";"/asset";""
"POST";"/asset/bulk-upload-check";""
"GET";"/asset/device/{deviceId}";""
"POST";"/asset/exist";""
"GET";"/asset/file/{id}";""
"POST";"/asset/jobs";""
"GET";"/asset/map-marker";""
"GET";"/asset/memory-lane";""
"GET";"/asset/random";""
"PUT";"/asset/stack/parent";""
"GET";"/asset/statistics";""
"GET";"/asset/thumbnail/{id}";""
"POST";"/asset/upload";""
"GET";"/asset/{id}";""
"PUT";"/asset/{id}";""
"GET";"/audit/deletes";""
"POST";"/auth/admin-sign-up";""
"POST";"/auth/change-password";""
"POST";"/auth/login";""
"POST";"/auth/logout";""
"POST";"/auth/validateToken";""
"POST";"/download/archive";""
"POST";"/download/asset/{id}";""
"POST";"/download/info";""
"GET";"/face";""
"PUT";"/face/{id}";""
"GET";"/jobs";""
"PUT";"/jobs/{id}";""
"GET";"/library";""
"POST";"/library";""
"DELETE";"/library/{id}";""
"GET";"/library/{id}";""
"PUT";"/library/{id}";""
"POST";"/library/{id}/removeOffline";""
"POST";"/library/{id}/scan";""
"GET";"/library/{id}/statistics";""
"POST";"/library/{id}/validate";""
"GET";"/memories";""
"POST";"/memories";""
"DELETE";"/memories/{id}";""
"GET";"/memories/{id}";""
"PUT";"/memories/{id}";""
"DELETE";"/memories/{id}/assets";""
"PUT";"/memories/{id}/assets";""
"POST";"/oauth/authorize";""
"POST";"/oauth/callback";""
"POST";"/oauth/link";""
"GET";"/oauth/mobile-redirect";""
"POST";"/oauth/unlink";""
"GET";"/partner";""
"DELETE";"/partner/{id}";""
"POST";"/partner/{id}";""
"PUT";"/partner/{id}";""
"GET";"/person";""
"POST";"/person";""
"PUT";"/person";""
"GET";"/person/{id}";""
"PUT";"/person/{id}";""
"GET";"/person/{id}/assets";""
"POST";"/person/{id}/merge";""
"PUT";"/person/{id}/reassign";""
"GET";"/person/{id}/statistics";""
"GET";"/person/{id}/thumbnail";""
"GET";"/report";""
"POST";"/report/checksum";""
"POST";"/report/fix";""
"GET";"/search/cities";""
"GET";"/search/explore";""
"POST";"/search/metadata";""
"GET";"/search/person";""
"GET";"/search/places";""
"POST";"/search/smart";""
"GET";"/search/suggestions";""
"GET";"/server-info";""
"GET";"/server-info/config";""
"GET";"/server-info/features";""
"GET";"/server-info/media-types";""
"GET";"/server-info/ping";""
"GET";"/server-info/statistics";""
"GET";"/server-info/theme";""
"GET";"/server-info/version";""
"DELETE";"/sessions";""
"GET";"/sessions";""
"DELETE";"/sessions/{id}";""
"GET";"/shared-link";""
"POST";"/shared-link";""
"GET";"/shared-link/me";""
"DELETE";"/shared-link/{id}";""
"GET";"/shared-link/{id}";""
"PATCH";"/shared-link/{id}";""
"DELETE";"/shared-link/{id}/assets";""
"PUT";"/shared-link/{id}/assets";""
"POST";"/sync/delta-sync";""
"POST";"/sync/full-sync";""
"GET";"/system-config";""
"PUT";"/system-config";""
"GET";"/system-config/defaults";""
"GET";"/system-config/map/style.json";""
"GET";"/system-config/storage-template-options";""
"GET";"/system-metadata/admin-onboarding";""
"POST";"/system-metadata/admin-onboarding";""
"GET";"/system-metadata/reverse-geocoding-state";""
"GET";"/tag";""
"POST";"/tag";""
"DELETE";"/tag/{id}";""
"GET";"/tag/{id}";""
"PATCH";"/tag/{id}";""
"DELETE";"/tag/{id}/assets";""
"GET";"/tag/{id}/assets";""
"PUT";"/tag/{id}/assets";""
"GET";"/timeline/bucket";""
"GET";"/timeline/buckets";""
"POST";"/trash/empty";""
"POST";"/trash/restore";""
"POST";"/trash/restore/assets";""
"GET";"/user";""
"POST";"/user";""
"PUT";"/user";""
"GET";"/user/info/{id}";""
"GET";"/user/me";""
"DELETE";"/user/profile-image";""
"POST";"/user/profile-image";""
"GET";"/user/profile-image/{id}";""
"DELETE";"/user/{id}";""
"POST";"/user/{id}/restore";""
"GET";"/activity";""
"POST";"/activity";""
"GET";"/activity/statistics";""
"DELETE";"/activity/{id}";""
"GET";"/album";""
"POST";"/album";""
"GET";"/album/count";""
"DELETE";"/album/{id}";""
"GET";"/album/{id}";""
"PATCH";"/album/{id}";""
"DELETE";"/album/{id}/assets";""
"PUT";"/album/{id}/assets";""
"DELETE";"/album/{id}/user/{userId}";""
"PUT";"/album/{id}/user/{userId}";""
"PUT";"/album/{id}/users";""
"GET";"/api-key";""
"POST";"/api-key";""
"DELETE";"/api-key/{id}";""
"GET";"/api-key/{id}";""
"PUT";"/api-key/{id}";""
"DELETE";"/asset";""
"GET";"/asset";""
"PUT";"/asset";""
"GET";"/asset/device/{deviceId}";""
"GET";"/asset/file/{id}";""
"POST";"/asset/jobs";""
"GET";"/asset/map-marker";""
"GET";"/asset/memory-lane";""
"GET";"/asset/random";""
"PUT";"/asset/stack/parent";""
"GET";"/asset/statistics";""
"GET";"/asset/thumbnail/{id}";""
"POST";"/asset/upload";""
"GET";"/asset/{id}";""
"PUT";"/asset/{id}";""
"GET";"/audit/deletes";""
"POST";"/auth/admin-sign-up";""
"POST";"/auth/change-password";""
"POST";"/auth/login";""
"POST";"/auth/logout";""
"POST";"/auth/validateToken";""
"POST";"/download/archive";""
"POST";"/download/asset/{id}";""
"POST";"/download/info";""
"GET";"/face";""
"PUT";"/face/{id}";""
"GET";"/jobs";""
"PUT";"/jobs/{id}";""
"GET";"/library";""
"POST";"/library";""
"DELETE";"/library/{id}";""
"GET";"/library/{id}";""
"PUT";"/library/{id}";""
"POST";"/library/{id}/removeOffline";""
"POST";"/library/{id}/scan";""
"GET";"/library/{id}/statistics";""
"POST";"/library/{id}/validate";""
"GET";"/memories";""
"POST";"/memories";""
"DELETE";"/memories/{id}";""
"GET";"/memories/{id}";""
"PUT";"/memories/{id}";""
"DELETE";"/memories/{id}/assets";""
"PUT";"/memories/{id}/assets";""
"POST";"/oauth/authorize";""
"POST";"/oauth/callback";""
"POST";"/oauth/link";""
"GET";"/oauth/mobile-redirect";""
"POST";"/oauth/unlink";""
"GET";"/partner";""
"DELETE";"/partner/{id}";""
"POST";"/partner/{id}";""
"PUT";"/partner/{id}";""
"GET";"/person";""
"POST";"/person";""
"PUT";"/person";""
"GET";"/person/{id}";""
"PUT";"/person/{id}";""
"GET";"/person/{id}/assets";""
"POST";"/person/{id}/merge";""
"PUT";"/person/{id}/reassign";""
"GET";"/person/{id}/statistics";""
"GET";"/person/{id}/thumbnail";""
"GET";"/report";""
"POST";"/report/checksum";""
"POST";"/report/fix";""
"GET";"/search/cities";""
"GET";"/search/explore";""
"POST";"/search/metadata";""
"GET";"/search/person";""
"GET";"/search/places";""
"POST";"/search/smart";""
"GET";"/search/suggestions";""
"GET";"/server-info";""
"GET";"/server-info/config";""
"GET";"/server-info/features";""
"GET";"/server-info/media-types";""
"GET";"/server-info/ping";""
"GET";"/server-info/statistics";""
"GET";"/server-info/theme";""
"GET";"/server-info/version";""
"DELETE";"/sessions";""
"GET";"/sessions";""
"DELETE";"/sessions/{id}";""
"GET";"/shared-link";""
"POST";"/shared-link";""
"GET";"/shared-link/me";""
"DELETE";"/shared-link/{id}";""
"GET";"/shared-link/{id}";""
"PATCH";"/shared-link/{id}";""
"DELETE";"/shared-link/{id}/assets";""
"PUT";"/shared-link/{id}/assets";""
"POST";"/sync/delta-sync";""
"POST";"/sync/full-sync";""
"GET";"/system-config";""
"PUT";"/system-config";""
"GET";"/system-config/defaults";""
"GET";"/system-config/map/style.json";""
"GET";"/system-config/storage-template-options";""
"GET";"/system-metadata/admin-onboarding";""
"POST";"/system-metadata/admin-onboarding";""
"GET";"/system-metadata/reverse-geocoding-state";""
"GET";"/tag";""
"POST";"/tag";""
"DELETE";"/tag/{id}";""
"GET";"/tag/{id}";""
"PATCH";"/tag/{id}";""
"DELETE";"/tag/{id}/assets";""
"GET";"/tag/{id}/assets";""
"PUT";"/tag/{id}/assets";""
"GET";"/timeline/bucket";""
"GET";"/timeline/buckets";""
"POST";"/trash/empty";""
"POST";"/trash/restore";""
"POST";"/trash/restore/assets";""
"GET";"/user";""
"POST";"/user";""
"PUT";"/user";""
"GET";"/user/info/{id}";""
"GET";"/user/me";""
"DELETE";"/user/profile-image";""
"POST";"/user/profile-image";""
"GET";"/user/profile-image/{id}";""
"DELETE";"/user/{id}";""
"POST";"/user/{id}/restore";""
"GET";"/activity";""
"POST";"/activity";""
"GET";"/activity/statistics";""
"DELETE";"/activity/{id}";""
"GET";"/album";""
"POST";"/album";""
"GET";"/album/count";""
"DELETE";"/album/{id}";""
"GET";"/album/{id}";""
"PATCH";"/album/{id}";""
"DELETE";"/album/{id}/assets";""
"PUT";"/album/{id}/assets";""
"DELETE";"/album/{id}/user/{userId}";""
"PUT";"/album/{id}/user/{userId}";""
"PUT";"/album/{id}/users";""
"GET";"/api-key";""
"POST";"/api-key";""
"DELETE";"/api-key/{id}";""
"GET";"/api-key/{id}";""
"PUT";"/api-key/{id}";""
"DELETE";"/asset";""
"GET";"/asset";""
"PUT";"/asset";""
"GET";"/asset/device/{deviceId}";""
"GET";"/asset/file/{id}";""
"POST";"/asset/jobs";""
"GET";"/asset/map-marker";""
"GET";"/asset/memory-lane";""
"GET";"/asset/random";""
"PUT";"/asset/stack/parent";""
"GET";"/asset/statistics";""
"GET";"/asset/thumbnail/{id}";""
"POST";"/asset/upload";""
"GET";"/asset/{id}";""
"PUT";"/asset/{id}";""
"GET";"/audit/deletes";""
"POST";"/auth/admin-sign-up";""
"POST";"/auth/change-password";""
"POST";"/auth/login";""
"POST";"/auth/logout";""
"POST";"/auth/validateToken";""
"POST";"/download/archive";""
"POST";"/download/asset/{id}";""
"POST";"/download/info";""
"GET";"/face";""
"PUT";"/face/{id}";""
"GET";"/jobs";""
"PUT";"/jobs/{id}";""
"GET";"/library";""
"POST";"/library";""
"DELETE";"/library/{id}";""
"GET";"/library/{id}";""
"PUT";"/library/{id}";""
"POST";"/library/{id}/removeOffline";""
"POST";"/library/{id}/scan";""
"GET";"/library/{id}/statistics";""
"POST";"/library/{id}/validate";""
"GET";"/memories";""
"POST";"/memories";""
"DELETE";"/memories/{id}";""
"GET";"/memories/{id}";""
"PUT";"/memories/{id}";""
"DELETE";"/memories/{id}/assets";""
"PUT";"/memories/{id}/assets";""
"POST";"/oauth/authorize";""
"POST";"/oauth/callback";""
"POST";"/oauth/link";""
"GET";"/oauth/mobile-redirect";""
"POST";"/oauth/unlink";""
"GET";"/partner";""
"DELETE";"/partner/{id}";""
"POST";"/partner/{id}";""
"PUT";"/partner/{id}";""
"GET";"/person";""
"POST";"/person";""
"PUT";"/person";""
"GET";"/person/{id}";""
"PUT";"/person/{id}";""
"GET";"/person/{id}/assets";""
"POST";"/person/{id}/merge";""
"PUT";"/person/{id}/reassign";""
"GET";"/person/{id}/statistics";""
"GET";"/person/{id}/thumbnail";""
"GET";"/report";""
"POST";"/report/checksum";""
"POST";"/report/fix";""
"GET";"/search/cities";""
"GET";"/search/explore";""
"POST";"/search/metadata";""
"GET";"/search/person";""
"GET";"/search/places";""
"POST";"/search/smart";""
"GET";"/search/suggestions";""
"GET";"/server-info";""
"GET";"/server-info/config";""
"GET";"/server-info/features";""
"GET";"/server-info/media-types";""
"GET";"/server-info/ping";""
"GET";"/server-info/statistics";""
"GET";"/server-info/theme";""
"GET";"/server-info/version";""
"DELETE";"/sessions";""
"GET";"/sessions";""
"DELETE";"/sessions/{id}";""
"GET";"/shared-link";""
"POST";"/shared-link";""
"GET";"/shared-link/me";""
"DELETE";"/shared-link/{id}";""
"GET";"/shared-link/{id}";""
"PATCH";"/shared-link/{id}";""
"DELETE";"/shared-link/{id}/assets";""
"PUT";"/shared-link/{id}/assets";""
"POST";"/sync/delta-sync";""
"POST";"/sync/full-sync";""
"GET";"/system-config";""
"PUT";"/system-config";""
"GET";"/system-config/defaults";""
"GET";"/system-config/map/style.json";""
"GET";"/system-config/storage-template-options";""
"GET";"/system-metadata/admin-onboarding";""
"POST";"/system-metadata/admin-onboarding";""
"GET";"/system-metadata/reverse-geocoding-state";""
"GET";"/tag";""
"POST";"/tag";""
"DELETE";"/tag/{id}";""
"GET";"/tag/{id}";""
"PATCH";"/tag/{id}";""
"DELETE";"/tag/{id}/assets";""
"GET";"/tag/{id}/assets";""
"PUT";"/tag/{id}/assets";""
"GET";"/timeline/bucket";""
"GET";"/timeline/buckets";""
"POST";"/trash/empty";""
"POST";"/trash/restore";""
